participant,Neptun,Computer_task,thanks,Challengescenario,Failurescenario,Criticismscenario,IQ1,IQ2,FMS1,FMS2,FMS3,FMS4,CrMS1,CrMS2,CrMS3,CrMS4,ChMS1,ChMS2,ChMS3,ChMS4,Ego1,Ego2,Ego3,Ego4,Ego5,Ego6,Ego7,Ego8,Ego9,Ego10,Ego11,university,gender,age,father,mother,feedback,thanks2,INFOSCREEN,TIME_start,TIME_end,TIME_total
s.0a063ad9-7a47-43aa-8947-59b3ac3e065a.txt,15468,"",2744,3105,11545,10275,2808,4708,1739,2812,4352,3631,2088,1919,2940,2289,3078,4223,2556,3072,3807,3179,2542,2030,1635,2212,4998,2767,4623,2530,1992,4631,1600,1832,2052,2069,1868,1438,58318,2020-04-02-10-39,2020-04-02-10-52,13
s.17b8f058-a52d-4da0-8de9-68654de70d62.txt,7426,"",3095,33493,14944,18480,7317,6419,3205,4526,4455,33274,3699,5026,3282,3255,4042,4828,4696,3465,4916,5461,22303,4922,3049,4260,5546,5223,3525,6315,4062,30334,2166,7155,2928,8727,7876,1581,114358,2020-04-04-11-44,2020-04-04-12-04,20
s.1f905baa-f292-4c3f-b007-0a4a4cd93259.txt,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",40686,2020-04-07-17-57,"",""
s.752b825e-f598-49b9-8487-6b2182c1d659.txt,30577,"",5487,8714,13422,15827,5363,4913,6603,4201,2966,3674,3787,5515,4238,4514,3514,6084,3762,3030,3640,4617,4015,6505,2641,3464,3025,2983,2477,5059,3861,8564,2742,4712,9587,2275,4352,5381,135047,2020-04-03-22-36,2020-04-03-22-54,18
s.892a4215-eb09-4191-be4f-44102f4e001f.txt,7366,"",15042,5040,12540,8349,6870,19288,3413,3210,3816,3419,4897,3775,2746,2627,5758,5052,2834,4363,4577,3830,3240,2832,3755,15190,4870,4319,2982,3212,2950,4702,2067,4011,3455,1720,2033,3737,13479,2020-04-02-12-21,2020-04-02-12-34,13
s.367f2bc1-21f5-42bc-a509-c34fa7f67c23.txt,24984,"",3402,4278,6289,10043,5345,5844,2722,4627,6780,6321,46418,3001,2736,4840,5160,3581,3280,2726,3108,4524,2937,4738,34958,5642,6431,3041,6002,3393,8622,6665,2177,5687,3065,2671,3223,5841,40734,2020-03-23-18-29,2020-03-23-19-03,34
s.ff9175de-56d5-4c67-b5b9-f235ffe9619f.txt,11004,"",4429,14735,23421,23092,10901,10191,3258,3635,4742,4848,4577,4349,2678,4102,4262,8088,9973,3595,3822,3874,7941,5785,3052,3537,10030,3887,2957,8823,6700,4567,2664,5409,3291,2077,5146,4433,15110,2020-04-02-17-37,2020-04-02-17-52,15
s.73026365-10c2-4063-bcb1-ecbd309cff25.txt,9501,"",8493,24843,29767,16019,5660,6705,8927,5860,7104,6540,3793,5432,3606,4328,4854,16684,3994,17088,3624,7235,6281,4075,2604,4919,7828,8002,3428,9526,4171,16725,1978,3963,2571,2294,5686,1482,17195,2020-04-05-18-47,2020-04-05-19-05,18
s.71c7e09e-2ac8-462a-a909-4354b4119199.txt,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",18822,2020-04-03-09-00,"",""
s.6d9f1454-e7fd-4fdf-b44d-bad7b77a013b.txt,14709,"",3760,22040,12137,786407,6785,7136,3882,2820,3560,3676,3034,3347,3289,3575,3474,2860,3251,3344,3247,6433,5233,3067,2518,3179,6180,4790,3414,3953,3164,5038,2419,3777,3822,1572,2743,4573,381067,2020-04-03-09-46,2020-04-03-10-13,27
