participant,Neptun:1,Computer_task:1,Challengescenario:1,Failurescenario:1,Failurescenario:2,Criticismscenario:1,Criticismscenario:2,IQ1:1,IQ2:1,FMS1:1,FMS2:1,FMS3:1,FMS4:1,CrMS1:1,CrMS2:1,CrMS3:1,CrMS4:1,ChMS1:1,ChMS2:1,ChMS3:1,ChMS4:1,Ego1:1,Ego2:1,Ego3:1,Ego4:1,Ego5:1,Ego6:1,Ego7:1,Ego8:1,Ego9:1,Ego10:1,Ego11:1,university:1,gender:1,age:1,father:1,mother:1,feedback:1,TIME_start,TIME_end,TIME_total
s.eece635b-1899-4375-81d8-1c4b4a638322.txt,FO9J9B,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2020-03-23-13-46,"",""
s.21cb886c-92c7-4369-bc19-b90d951a6f0e.txt,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2020-04-05-12-25,"",""
s.16c162f3-06e8-472e-86ff-9fdd33087017.txt,UT2OXK,"",1,2,5,1,5,2,1,2,3,2,3,5,4,2,2,6,4,1,2,4,6,5,6,6,4,3,3,5,6,3,Eötvös Loránd Tudományegyetem,1,20,4,4,nincsen,2020-03-23-13-21,2020-03-23-14-01,40,
s.60f9145d-2036-4bd8-8427-ce8195612c82.txt,EO318S,"",1,4,3,3,4,2,2,2,3,3,3,4,4,4,4,4,4,4,3,3,5,4,3,5,3,5,5,4,5,5,Eötvös Lóránd Tudomány Egyetem,1,20,4,4,"",2020-04-02-16-39,2020-04-02-16-57,18,
s.289bb7cc-f7b5-4605-bf75-e7aadd30fed5.txt,MJA2DL,"",1,2,4,3,4,3,3,2,2,5,5,2,5,5,5,5,4,3,3,4,3,5,6,5,5,4,5,5,3,5,ELTE,1,22,2,4,"",2020-04-02-19-59,2020-04-02-20-19,20,
s.86955fc6-c741-4346-ae3a-c5db61969e71.txt,XD72CR,"",1,4,1,2,5,4,2,1,4,4,4,5,5,3,2,6,5,2,1,6,6,4,6,5,3,1,6,6,5,6,Eötvös Loránd Tudományegyetem,1,21,3,3,"",2020-04-03-00-40,2020-04-03-00-57,17,
s.862df014-ed5c-408f-aefd-0dbe400855a4.txt,DI1NMM,"",2,3,5,2,5,5,4,3,4,2,3,5,4,3,2,4,5,3,3,4,5,3,4,5,4,3,4,4,5,4,ELTE,1,19,4,4,"",2020-03-23-15-17,2020-03-23-15-35,18,
s.c0bdb29f-a700-4a43-b3cc-55f94aae61d7.txt,WIRW0P,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2020-04-05-10-17,"",""
s.55b77d02-4a23-4f8b-a3c7-75d299a2b082.txt,F7CW9L,"",1,2,5,2,4,5,5,3,3,4,4,4,3,4,3,5,5,3,3,6,6,4,6,6,4,4,3,3,6,5,ELTE PPK,1,24,2,2,"",2020-04-02-11-11,2020-04-02-11-29,18,
s.84cf0f3f-844d-4384-9c89-e4a4938565ae.txt,DRHKBA,"",2,3,3,3,4,3,3,2,4,3,3,4,4,3,3,4,4,3,3,4,2,2,3,4,2,2,4,5,4,5,ELTE,1,23,4,3,"",2020-04-02-17-50,2020-04-02-18-05,15,
s.488df60c-76ed-403a-9916-0ffc020bbf86.txt,F7WUK3,"",2,3,4,2,4,1,1,3,5,1,2,4,4,3,2,5,5,1,1,5,6,5,4,6,4,3,5,4,4,4,ELTE ,1,20,2,1,-,2020-03-23-14-37,2020-03-23-14-58,21,
